,artist_name,track_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,YEAR,mode2
0,Train,"Hey, Soul Sister",1,0.6729999999999999,0.8859999999999999,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012,216773,4,2010,minor
1,Bruno Mars,Just the Way You Are,1,0.637,0.843,5,-5.412999999999999,1,0.0432,0.0151,0.0,0.0876,0.434,109.012,220733,4,2010,major
2,Jason Aldean,Dirt Road Anthem,1,0.68,0.741,2,-5.055,1,0.0357,0.34700000000000003,1.87e-06,0.11699999999999999,0.635,127.024,229400,4,2010,major
3,Eminem,Love The Way You Lie,1,0.7490000000000001,0.925,10,-5.034,1,0.22699999999999998,0.24100000000000002,0.0,0.52,0.6409999999999999,86.98899999999998,263373,4,2010,major
4,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),1,0.76,0.595,1,-6.3660000000000005,1,0.0391,0.0054399999999999995,0.0,0.24100000000000002,0.361,131.497,263773,4,2010,major
5,Kesha,TiK ToK,1,0.755,0.8370000000000001,2,-2.718,0,0.142,0.0991,0.0,0.289,0.7140000000000001,120.02799999999999,199693,4,2010,minor
6,Bruno Mars,Grenade,1,0.706,0.5579999999999999,2,-7.237,0,0.0593,0.146,0.0,0.11800000000000001,0.22699999999999998,110.443,223253,4,2010,minor
7,Kanye West,POWER,1,0.5429999999999999,0.915,0,-4.746,0,0.113,0.0162,0.0,0.7440000000000001,0.5770000000000001,153.998,292093,4,2010,minor
8,Nicki Minaj,Super Bass,1,0.72,0.861,11,-4.3389999999999995,1,0.209,0.26899999999999996,5.11e-06,0.601,0.669,126.991,200013,4,2010,major
9,Bruno Mars,Talking to the Moon,1,0.523,0.606,1,-4.754,0,0.0301,0.512,0.0,0.106,0.065,145.83700000000005,217867,4,2010,minor
10,Kesha,Cannibal,1,0.71,0.68,1,-4.676,1,0.106,0.0078,0.0165,0.0493,0.5710000000000001,129.971,194253,4,2010,major
11,Miguel,Sure Thing,1,0.684,0.603,11,-8.127,0,0.0989,0.0275,0.00031099999999999997,0.191,0.504,81.0,195373,4,2010,minor
12,Taio Cruz,Dynamite,1,0.754,0.804,4,-3.177,1,0.0853,0.0033200000000000005,0.0,0.0329,0.818,119.96799999999999,203867,4,2010,major
13,Trey Songz,Bottoms Up (feat. Nicki Minaj),1,0.845,0.601,1,-5.2829999999999995,1,0.161,0.0205,0.0,0.385,0.32899999999999996,74.008,242013,4,2010,major
14,Drake,Best I Ever Had,1,0.431,0.894,5,-2.673,0,0.33,0.0951,0.0,0.188,0.604,162.19299999999996,258760,4,2010,minor
15,Eminem,Not Afraid,1,0.855,0.9540000000000001,0,-1.19,0,0.264,0.529,0.0,0.205,0.6679999999999999,114.635,248133,5,2010,minor
16,Neon Trees,Animal,1,0.48200000000000004,0.833,5,-5.6110000000000015,1,0.0449,0.000346,0.0,0.365,0.74,148.039,212293,4,2010,major
17,Bruno Mars,Marry You,1,0.62,0.8320000000000001,10,-4.848,1,0.036000000000000004,0.332,0.0,0.10400000000000001,0.48100000000000004,144.92600000000004,230120,4,2010,major
18,B.o.B,Airplanes (feat. Hayley Williams),1,0.66,0.867,6,-4.285,0,0.11599999999999999,0.11,0.0,0.0368,0.377,93.03299999999999,180480,4,2010,minor
19,Kanye West,All Of The Lights,1,0.541,0.8029999999999999,1,-3.284,1,0.0738,0.0796,1.7100000000000002e-05,0.17600000000000002,0.221,142.135,299613,4,2010,major
20,P!nk,Raise Your Glass,1,0.7,0.7090000000000001,7,-5.006,1,0.0839,0.0048,0.0,0.0289,0.625,122.01899999999999,202960,4,2010,major
21,Don Omar,Danza Kuduro,1,0.4,0.915,0,-4.89,1,0.28,0.0846,0.0,0.0503,0.878,88.917,198773,3,2010,major
22,Jason Derulo,Whatcha Say,1,0.615,0.711,11,-5.5070000000000014,1,0.0779,0.0444,0.0,0.145,0.711,144.036,221253,4,2010,major
23,Justin Bieber,Baby,1,0.728,0.86,5,-5.237,0,0.13699999999999998,0.0401,0.0,0.111,0.535,65.043,214240,4,2010,minor
24,Two Door Cinema Club,What You Know,1,0.561,0.741,6,-4.239,0,0.0419,0.000715,1.4000000000000001e-05,0.0822,0.7759999999999999,139.001,191707,4,2010,minor
25,Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),1,0.7659999999999999,0.873,11,-6.381,0,0.14300000000000002,0.00627,0.0,0.0764,0.743,126.988,202627,4,2010,minor
26,The Band Perry,If I Die Young,1,0.606,0.4970000000000001,4,-6.6110000000000015,1,0.0277,0.348,0.0,0.275,0.36200000000000004,130.739,222773,4,2010,major
